"","ID","BORO","BLOCK","LOT","TXCL","ZIP","YRB","TOT_UNIT","RES_UNIT","STR_NAME","BLDGCL","HNUM_LO","HNUM_HI","VALUE_10","VALUE_11","VALUE_12","VALUE_13","VALUE_14","VALUE_15","VALUE_16","VALUE_17","VALUE_18","VALUE_19","VALUE_20","VALUE_21","VALUE_22","VALUE_23"
"1","433-47",3,433,"47","1",11215,1901,3,3,"UNION STREET","C0","000000000575","000000000575",1116000,1182000,1035000,1242000,1204000,1204000,1204000,1625000,2194000,3461000,4318000,5431000,5694000,5299000
"2","433-55",3,433,"55","1",11215,1899,2,2,"UNION STREET","B1","000000000563","000000000563",657000,625000,613000,614000,497000,497000,497000,671000,906000,1429000,1067000,1342000,1606000,1901000
"3","440-39",3,440,"39","1",11215,1931,3,2,"3 AVENUE","S2","000000000270","000000000270",437000,450000,450000,448000,453000,544000,653000,784000,941000,1009000,1211000,1393000,1934000,2091000
"4","440-40",3,440,"40","1",11215,1931,3,2,"3 AVENUE","S2","000000000272","000000000272",478000,492000,492000,490000,548000,658000,790000,948000,1138000,1220000,1464000,1684000,2211000,2346000
"5","440-42",3,440,"42","1",11215,1930,3,3,"PRESIDENT STREET","C0","000000000511","000000000511",1087000,1046000,1010000,1212000,1158000,1390000,1593000,2054000,2319000,3414000,2891000,3491000,4177000,4223000
"6","440-46",3,440,"46","1",11215,1920,3,3,"PRESIDENT STREET","C0","000000000501","000000000501",940000,944000,788000,946000,967000,1160000,1392000,1674000,2123000,3349000,2501000,2300000,2752000,3086000
"7","447-3",3,447,"3","1",11215,1910,3,3,"NEVINS STREET","C0","000000000337","000000000337",767000,672000,659000,791000,775000,775000,775000,1046000,1412000,2228000,1682000,2001000,2394000,2406000
"8","447-12",3,447,"12","1",11215,1899,3,3,"PRESIDENT STREET","C0","000000000478","000000000478",913000,866000,849000,1019000,870000,870000,870000,1175000,1586000,2502000,2428000,3046000,3644000,3562000
"9","447-13",3,447,"13","1",11215,1899,2,2,"PRESIDENT STREET","B9","000000000482","000000000482",1114000,1175000,1357000,1628000,1458000,1458000,1458000,1827000,2466000,2928000,2556000,2406000,2879000,3371000
"10","447-15",3,447,"15","1",11215,1899,2,2,"PRESIDENT STREET","B2","000000000484","000000000484",880000,1058000,1038000,1246000,1048000,1048000,1048000,1415000,1910000,2596000,2506000,2302000,2754000,2980000
"11","447-16",3,447,"16","1",11215,1910,3,3,"PRESIDENT STREET","C0","000000000486","000000000486",975000,1005000,986000,1183000,1078000,1078000,1078000,1455000,1964000,2696000,2809000,2976000,3560000,4201000
"12","447-17",3,447,"17","1",11215,1910,3,3,"PRESIDENT STREET","C0","000000000488","000000000488",831000,860000,742000,890000,774000,774000,774000,1045000,1411000,2226000,2257000,2281000,2729000,3143000
"13","447-18",3,447,"18","1",11215,1910,3,3,"PRESIDENT STREET","C0","000000000490","000000000490",816000,801000,786000,943000,819000,819000,819000,1106000,1493000,2355000,2307000,2160000,2584000,2926000
"14","447-21",3,447,"21","1",11215,1931,3,2,"PRESIDENT STREET","S2","000000000496","000000000496",426000,439000,439000,437000,376000,376000,376000,376000,451000,484000,581000,668000,1055000,1232000
"15","447-24",3,447,"24","1",11215,1910,2,2,"PRESIDENT STREET","B9","000000000502","000000000502",940000,870000,853000,1024000,991000,991000,991000,1338000,1806000,2829000,2232000,2790000,2758000,3050000
"16","447-25",3,447,"25","1",11215,1899,3,3,"PRESIDENT STREET","C0","000000000504","000000000504",805000,770000,946000,1135000,1028000,1028000,1028000,1388000,1731000,2594000,2401000,2589000,2700000,3045000
"17","447-26",3,447,"26","1",11215,1899,2,2,"PRESIDENT STREET","B9","000000000506","000000000506",908000,965000,793000,952000,825000,825000,825000,1114000,1504000,2286000,2029000,2097000,2509000,2288000
"18","447-27",3,447,"27","1",11215,1899,3,3,"PRESIDENT STREET","C0","000000000508","000000000508",1107000,1264000,1020000,1224000,1097000,1097000,1097000,1481000,1816000,2865000,2754000,2927000,3502000,3193000
"19","447-28",3,447,"28","1",11215,1899,3,3,"PRESIDENT STREET","C0","000000000510","000000000510",1118000,1224000,1200000,1440000,1216000,1216000,1216000,1642000,2158000,3069000,2608000,2832000,3388000,3089000
"20","447-34",3,447,"34","1",11215,1901,3,2,"3 AVENUE","S2","000000000282","000000000282",373000,384000,384000,382000,386000,463000,556000,667000,8e+05,858000,1030000,1185000,1872000,2058000
"21","447-35",3,447,"35","1",11215,1910,3,2,"3 AVENUE","S2","000000000284","000000000284",426000,439000,439000,437000,442000,530000,636000,763000,916000,982000,1178000,1355000,1937000,2076000
"22","447-36",3,447,"36","1",11215,1901,3,2,"3 AVENUE","S2","000000000286","000000000286",407000,419000,419000,417000,422000,506000,607000,728000,874000,937000,1124000,1293000,1946000,2107000
"23","447-37",3,447,"37","1",11215,1901,3,2,"3 AVENUE","S2","000000000288","000000000288",407000,419000,419000,417000,422000,506000,607000,728000,874000,937000,1124000,1293000,1963000,2125000
"24","447-38",3,447,"38","1",11215,1920,3,3,"3 AVENUE","C0","000000000290","000000000290",1187000,1089000,1011000,1213000,1197000,1436000,1647000,1881000,2079000,2858000,3093000,3584000,4288000,4215000
"25","447-41",3,447,"41","1",11215,1910,1,1,"CARROLL STREET","A5","000000000469","000000000469",644000,564000,705000,751000,804000,941000,1039000,1403000,1668000,1905000,1934000,1749000,2093000,2173000
"26","447-42",3,447,"42","1",11215,1915,1,1,"CARROLL STREET","A5","000000000467","000000000467",654000,575000,719000,752000,804000,941000,1042000,1407000,1713000,1936000,1934000,1749000,2093000,2173000
"27","447-44",3,447,"44","1",11215,1899,3,3,"CARROLL STREET","C0","000000000463","000000000463",975000,1071000,982000,1178000,1097000,1097000,1150000,1553000,2097000,2716000,2318000,2464000,2436000,3155000
"28","447-49",3,447,"49","1",11215,1915,1,1,"CARROLL STREET","A9","000000000453","000000000453",648000,644000,632000,758000,626000,626000,626000,845000,1141000,1800000,1999000,1897000,2242000,2212000
"29","447-50",3,447,"50","1",11215,1931,3,2,"CARROLL STREET","S2","000000000451","000000000451",605000,623000,623000,620000,549000,549000,549000,549000,659000,707000,848000,975000,1541000,1800000
"30","447-54",3,447,"54","1",11215,1899,3,3,"CARROLL STREET","C0","000000000443","000000000443",1012000,1155000,1133000,1360000,1164000,1164000,1164000,1571000,2121000,3068000,2450000,2526000,3022000,3549000
"31","447-55",3,447,"55","1",11215,1920,2,2,"CARROLL STREET","B9","000000000441","000000000441",719000,642000,630000,756000,745000,1065000,1065000,1438000,1941000,2490000,2756000,2809000,3361000,3649000
"32","447-56",3,447,"56","1",11215,1899,3,3,"CARROLL STREET","C0","000000000439","000000000439",970000,985000,966000,1159000,1071000,1071000,1071000,1446000,1952000,2867000,2464000,2671000,3196000,3319000
"33","447-57",3,447,"57","1",11215,1899,2,2,"CARROLL STREET","B9","000000000437","000000000437",911000,815000,889000,1067000,964000,964000,964000,1301000,1756000,2569000,2209000,1997000,2389000,2178000
"34","447-58",3,447,"58","1",11215,1901,1,1,"CARROLL STREET","A9","000000000435","000000000435",546000,533000,523000,524000,455000,455000,455000,614000,829000,1283000,958000,866000,1015000,1315000
"35","447-59",3,447,"59","1",11215,1899,2,2,"CARROLL STREET","B9","000000000433","000000000433",546000,497200,622000,623000,548000,548000,548000,740000,999000,1473000,1589000,1612000,1820000,1983000
"36","447-1001",3,447,"1001","1C",11215,0,1,1,"CARROLL STREET","R6","000000000459","000000000459",503500,503500,494000,592800,478000,478000,478000,645300,871155,940071,982000,1129500,1821000,1821000
"37","447-1002",3,447,"1002","1C",11215,0,1,1,"CARROLL STREET","R6","000000000459","000000000459",503500,503500,494000,592800,478000,478000,478000,645300,871155,940071,982000,1129500,1821000,1821000
"38","448-3",3,448,"3","1",11215,1930,3,2,"3 AVENUE","S2","000000000285","000000000285",320000,330000,330000,329000,486000,583000,7e+05,840000,1008000,1081000,1297000,1492000,1934000,2149000
"39","448-4",3,448,"4","1",11215,1899,3,3,"3 AVENUE","C0","000000000283","000000000283",920000,996000,977000,1144000,1266000,1076000,1291000,1404000,1487000,2346000,2444000,2655000,2481000,3213000
